,nm_class,samples,NiSi,SNV,indel,SVMEI,Normal,fold
659,Eso-AdenoCA,d4cf11be-3bd7-403b-9722-91d8e8761e4d.csv,22516,159,2626,72,6,7
660,Eso-AdenoCA,d707940e-0f9d-4da3-9380-90a422e44efd.csv,24073,146,1628,37,2,8
661,Eso-AdenoCA,da910f22-126e-41dc-be6b-47c8f69ad106.csv,57606,299,3849,1582,9,9
662,Eso-AdenoCA,dd7d623b-b9af-4147-9aa6-e09793691f10.csv,28979,130,1848,111,2,10
664,Eso-AdenoCA,ded8b673-53df-4038-a375-7cd0fd2a1b9f.csv,14616,92,1177,916,4,2
665,Eso-AdenoCA,dfde4013-9062-42f5-a42b-626ef8334a41.csv,33868,194,1399,164,3,3
666,Eso-AdenoCA,e7a0889c-dd8c-4230-9c63-384f1f6ee577.csv,19583,95,1624,393,4,4
667,Eso-AdenoCA,e91ab7da-79a6-4ea0-bc24-7aacb39f7614.csv,36152,219,1533,1238,0,5
668,Eso-AdenoCA,e93b0979-65ef-4883-9b6e-39eb17966e66.csv,10788,123,754,11,2,6
669,Eso-AdenoCA,eb1531b0-8af1-4b2b-9192-644cb47101fc.csv,29439,181,3623,1912,9,7
670,Eso-AdenoCA,ec474dfa-527c-44f3-9224-bf1c858cabfc.csv,20114,92,1625,19,0,8
671,Eso-AdenoCA,f0a33adc-ea90-46ef-a24a-a8d7e4e15db3.csv,39604,191,1944,2314,0,9
672,Eso-AdenoCA,f2e639cc-c30c-459f-8afc-7ace7d0209c5.csv,11308,93,1321,1354,6,10
674,Eso-AdenoCA,f48c3c82-bebe-4b8e-909e-e1a51a7142ec.csv,27103,128,2417,1443,6,2
675,Eso-AdenoCA,fab0be4b-c84a-45cd-a76f-44d9a8bf1846.csv,19350,159,2074,1867,7,3
676,Head-SCC,02c6a893-49c5-49d1-8eb1-195021e70d52.csv,3021,18,186,156,0,4
677,Head-SCC,08227616-02a5-46e8-9db1-f2d1d691ab23.csv,12509,176,525,658,6,5
678,Head-SCC,0e6ca8dc-0f31-4675-95b1-5920576daeff.csv,5554,331,702,160,2,6
679,Head-SCC,0f9e70b3-24cf-4d76-af7b-84ace66ec5a7.csv,7009,88,380,266,0,7
680,Head-SCC,1727e88b-df0a-4af2-9191-8c6061d98ad0.csv,8813,55,494,178,0,8
681,Head-SCC,190eb791-383d-4e27-870d-e470630843e7.csv,16693,205,742,591,1,9
682,Head-SCC,1aff91a6-1b0f-4575-8f4b-4e064a50b886.csv,9474,487,1546,675,7,10
684,Head-SCC,1fdab6a6-7346-4229-aa8d-5dbd258f0c60.csv,9006,85,579,359,0,2
685,Head-SCC,1ff155dd-deb4-44e0-b3a2-e4875b618435.csv,13257,85,615,112,0,3
686,Head-SCC,1fff8b62-534b-4d71-a65f-e5f93b8b50ed.csv,16895,302,804,403,2,4
687,Head-SCC,21205681-a0c7-48d0-81d4-0b7ef31158cf.csv,49680,336,1212,608,3,5
688,Head-SCC,29fc38aa-f367-46a3-a14d-a5f657ad0caa.csv,3390,20,260,137,0,6
689,Head-SCC,34d7b6cc-cfcf-4178-b075-f4d129ab18f7.csv,2892,22,109,100,0,7
690,Head-SCC,3e604a1c-b95f-44ff-9723-e2fac845da3b.csv,87620,2098,3582,588,7,8
691,Head-SCC,469eddf2-6e02-46bf-820f-6296a2b776e2.csv,780,4,25,4,0,9
692,Head-SCC,46d35b82-e1b7-4d35-be5e-3a70fd47e421.csv,27225,78,992,229,1,10
694,Head-SCC,5193a482-6ed9-4504-bd7c-c8b9e4103577.csv,43020,298,1337,520,9,2
695,Head-SCC,54e78de0-d357-4125-a904-ab35e461572b.csv,12898,492,731,803,5,3
696,Head-SCC,6bbd66dd-efee-4d6e-b02f-f88e98526b82.csv,5051,18,103,109,0,4
697,Head-SCC,7158c9fd-a633-4fef-aa23-bd285f2a87a8.csv,3950,18,238,28,0,5
698,Head-SCC,7625877a-7a2b-466f-944b-9e56689ad47b.csv,6406,58,333,184,0,6
699,Head-SCC,7e584ff6-0b81-4f85-81da-b8117afee326.csv,7185,56,484,981,0,7
700,Head-SCC,81598359-24d5-4a8b-a6e6-7a6f94289119.csv,5902,18,328,245,0,8
701,Head-SCC,8294a969-59a1-4d3b-895b-f07e96bf9f7a.csv,17995,203,811,133,0,9
702,Head-SCC,83eca7b5-45bb-44c0-8afe-36f8988d0078.csv,14137,72,185,318,2,10
704,Head-SCC,9650640f-154d-4696-aa96-3611c6fcee7b.csv,10633,79,1273,257,2,2
705,Head-SCC,9988eb07-01f6-4f83-8699-bb63e0525f08.csv,52505,1298,2375,1776,7,3
706,Head-SCC,9fb6b7be-0084-48f7-a256-6d170e72e97f.csv,3759,16,141,0,2,4
707,Head-SCC,a0fe80e0-e3ac-485b-8a1a-4c80c101b874.csv,7543,91,386,671,2,5
708,Head-SCC,a315b798-f037-48d5-91ed-e733e3bbd6ee.csv,16806,251,1127,452,2,6
709,Head-SCC,a8041e86-071e-46cd-8fb5-7ecdc1ab0553.csv,5848,40,337,578,0,7
710,Head-SCC,ab923db7-54e8-4a50-b7fd-c2b4b300041e.csv,21858,92,542,262,2,8
711,Head-SCC,b537bc07-9998-49f4-bbbe-5b617152bfd9.csv,4142,20,205,144,0,9
712,Head-SCC,b86e88e7-0d5f-4b32-a35f-dc97251ab990.csv,8798,32,383,155,0,10
714,Head-SCC,c0812962-a345-48b7-aec0-01336c2d1eed.csv,3037,2,171,120,0,2
715,Head-SCC,c121de15-78f7-4698-91bf-fd0485c466c2.csv,523,4,5,12,0,3
716,Head-SCC,c2124bb2-30e1-4093-9a8a-3a188a6dc0a9.csv,12988,195,707,923,2,4
717,Head-SCC,c76f7fcc-2748-4b6d-805e-d21652dd5e3a.csv,24404,617,1091,1475,5,5
718,Head-SCC,ca137611-533a-4d20-a85d-8e4c3a1eab2d.csv,5773,44,372,16,0,6
719,Head-SCC,d25a4c65-9cb4-4611-909e-e68f93408d84.csv,26982,405,1502,148,6,7
720,Head-SCC,d3709eea-ca2a-49ac-b79c-871a5473d450.csv,21997,209,827,134,1,8
721,Head-SCC,d4b80307-abbd-48bb-b52c-6dcd409699a2.csv,5155,38,298,172,0,9
722,Head-SCC,dd67dec6-35dd-4efe-b913-ed4884855365.csv,5197,38,441,349,2,10
724,Head-SCC,dfa20d2d-1ba3-476a-b4b9-21d21470bee2.csv,49452,322,641,428,5,2
725,Head-SCC,e2b5c926-491d-430d-8d9c-5c73d7752d1b.csv,63179,1836,2510,613,12,3
726,Head-SCC,e2e6a409-b64d-463c-ac3b-e7987a3124f0.csv,15087,90,749,88,2,4
727,Head-SCC,e52ffa79-557a-4024-81f3-f3826c227ec5.csv,31782,832,1463,1598,8,5
728,Head-SCC,ee963667-56b1-49bd-8896-e07b536d3014.csv,3123,23,321,212,0,6
729,Head-SCC,ef673d3d-2031-4036-ba25-4bc7ef04075b.csv,7213,51,323,216,1,7
730,Head-SCC,f35f7712-d5c6-47f6-98ed-704edbbc1e19.csv,23835,80,517,140,4,8
731,Head-SCC,fb8b5ff5-4164-4276-b75b-b0ee6bda7329.csv,12468,87,550,381,1,9
732,Head-SCC,feccc27e-5c2e-4339-8746-0945fee93c1e.csv,2866,26,232,268,0,10
734,Kidney-ChRCC,09537dce-c797-4b60-962a-d4c3cd6ab00a.csv,2052,28,130,1,0,2
735,Kidney-ChRCC,0b811c6a-8f05-44bd-ac33-fb720d189e71.csv,1681,32,159,16,0,3
736,Kidney-ChRCC,148536ce-ee2a-4952-a19d-10d6f44146b9.csv,2210,30,217,36,0,4
737,Kidney-ChRCC,1e8ae8dd-74c1-44d5-a74e-bfdce801c736.csv,2007,28,135,20,0,5
738,Kidney-ChRCC,24f887e1-ce82-40f3-9674-11102bd076c0.csv,1895,25,138,16,0,6
739,Kidney-ChRCC,2ccd028d-e7e0-4f77-a512-f658a31819a4.csv,1967,33,172,80,0,7
740,Kidney-ChRCC,322f0b01-2118-4dbe-aba1-3875a54ee71b.csv,40498,61,2298,176,3,8
741,Kidney-ChRCC,345a06d6-fa5c-4674-a847-88a6b537cf3c.csv,882,12,91,28,0,9
742,Kidney-ChRCC,34739bd6-b3be-441d-8cdb-e4233bf14080.csv,1768,41,131,16,0,10
744,Kidney-ChRCC,4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c.csv,1775,24,99,24,0,2
745,Kidney-ChRCC,4ecbfd89-393f-4126-aa1c-951a2c23ef89.csv,1492,25,141,4,2,3
746,Kidney-ChRCC,58c7e9c3-1345-48c0-a758-0887358b8696.csv,979,13,65,16,0,4
747,Kidney-ChRCC,5bebc389-de0d-45b8-9d2f-6476988c358a.csv,1799,14,91,4,0,5
748,Kidney-ChRCC,6400c324-2c94-477d-acb9-669d4ea46f1e.csv,948,10,123,4,0,6
749,Kidney-ChRCC,64f696a6-58b2-40a8-b848-fd775cd52529.csv,1618,27,90,20,0,7
750,Kidney-ChRCC,7087a2b6-7fc4-45b0-8c48-248864f03deb.csv,1957,18,119,52,0,8
751,Kidney-ChRCC,715f59dd-a80f-422d-988c-f73f4b987baf.csv,1980,20,167,326,0,9
752,Kidney-ChRCC,81bb13fc-f082-4c0b-8066-1729f11ef617.csv,897,10,92,16,0,10
754,Kidney-ChRCC,93b51c61-6eea-4228-a102-840a2e118522.csv,1114,18,102,16,0,2
755,Kidney-ChRCC,94434272-4cbd-4b4d-bd98-44f18526dd69.csv,839,4,89,16,2,3
756,Kidney-ChRCC,97c1a300-978d-4df1-9e97-ce2f92b9eff1.csv,1255,8,95,4,0,4
757,Kidney-ChRCC,9a90f951-ad96-4883-b97f-ac43395dae5d.csv,1671,34,143,24,0,5
758,Kidney-ChRCC,9d29543e-8601-4fd0-8e76-3df3de465cab.csv,1669,32,68,16,0,6
759,Kidney-ChRCC,9d3b0b87-5fc5-4d09-9c63-4d5fc4bc46d0.csv,587,8,61,0,1,7
760,Kidney-ChRCC,9dfcbabf-2bc0-43a2-bdde-d0b2aaca3f6b.csv,1457,12,87,8,0,8
761,Kidney-ChRCC,9fb73d89-f7c4-47b2-810b-3ce37cd8a3c9.csv,1722,26,171,8,0,9
762,Kidney-ChRCC,9fc0e0e8-1b0f-400c-b4cf-126193283695.csv,1693,14,122,28,0,10
764,Kidney-ChRCC,a592e80a-3b1a-46aa-be30-bcd87d6bca6f.csv,1811,16,112,4,0,2
765,Kidney-ChRCC,ba686386-8113-4885-b20f-6ad09a295604.csv,1298,12,94,20,0,3
766,Kidney-ChRCC,bd2ec47b-a120-4b3b-b10d-aee09805ab33.csv,2153,47,209,28,2,4
767,Kidney-ChRCC,c00de7a0-0b09-4e07-988c-ef2a7f8e932a.csv,2687,36,196,932,0,5
768,Kidney-ChRCC,c29f6ed6-880d-4f03-977e-1087738e5e60.csv,1055,16,47,24,0,6
769,Kidney-ChRCC,c56505cb-e150-408d-9df6-3af4e608c376.csv,1071,23,68,12,0,7
770,Kidney-ChRCC,c6d6f49e-6e95-4e41-8388-71f6fe017d80.csv,1550,22,116,0,0,8
771,Kidney-ChRCC,cdf313c8-59f9-41c6-9bd2-f47cb4287da5.csv,922,10,97,12,1,9
772,Kidney-ChRCC,d113ce88-04ab-4675-b363-92f80c28de34.csv,869,16,89,12,0,10
774,Kidney-ChRCC,d72a7338-c144-4c62-a70e-2177a3b4b77e.csv,1547,18,115,4,0,2
775,Kidney-ChRCC,e9032df3-8692-4146-a867-b9b64c9b310a.csv,3136,38,160,1220,0,3
776,Kidney-ChRCC,f38fc6ac-2af8-4d89-a514-4e2c5fdf08de.csv,1496,11,114,12,0,4
777,Kidney-ChRCC,fae88d21-171c-4df4-b258-3c5948a1034b.csv,2290,24,178,164,1,5
778,Kidney-RCC,005794f1-5a87-45b5-9811-83ddf6924568.csv,5069,141,702,68,10,6
779,Kidney-RCC,00bf0350-8c7c-4b9e-8143-13ea2dc1122f.csv,5154,168,687,116,3,7
780,Kidney-RCC,00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7.csv,9255,219,1487,196,12,8
781,Kidney-RCC,0168a2a6-c3af-4d58-a51c-d33f0fc7876d.csv,7289,221,878,16,5,9
782,Kidney-RCC,04db8bef-8777-48ac-bc2e-3c9acb103f48.csv,7525,240,1373,8,6,10
784,Kidney-RCC,0ed63d84-d3fe-4289-9255-35f4a03b703b.csv,3893,135,840,5,8,2
785,Kidney-RCC,0f53e757-1823-409f-a0ea-249270728e15.csv,3898,106,738,288,2,3
786,Kidney-RCC,10d15b7a-16d1-4953-aaef-f193ffa97f42.csv,7162,164,671,172,1,4
787,Kidney-RCC,141918cd-3e23-45bc-96e1-b208c80f69e7.csv,6205,208,854,76,7,5
788,Kidney-RCC,14dd86c1-dfb3-4124-a453-4d64223bc048.csv,4325,109,612,60,0,6
789,Kidney-RCC,155873b2-e5de-405f-87f6-6de0d238b160.csv,19269,262,819,44,6,7
790,Kidney-RCC,15a93657-0521-430a-a816-bf0842374b75.csv,4243,107,508,8,2,8
791,Kidney-RCC,19d6cf34-1cd7-4242-a4d1-5d3e11f428aa.csv,7220,254,1361,8,1,9
792,Kidney-RCC,1d325d84-a3a0-4802-9842-76cb21cecb1c.csv,5217,114,485,88,0,10
794,Kidney-RCC,2425a532-f562-423a-88f5-228642f53875.csv,5342,250,1294,16,11,2
795,Kidney-RCC,252a1c43-f954-44d7-8e31-6bcd0157a05c.csv,5336,115,488,20,2,3
796,Kidney-RCC,267a9862-17bd-4056-ba4a-1f373736ffbb.csv,4900,132,831,12,11,4
797,Kidney-RCC,29548b5f-c88a-4908-8c46-e86483e75067.csv,4969,88,456,40,4,5
798,Kidney-RCC,2c581a74-7716-4c20-b366-a8e1d9a901f6.csv,6770,202,680,88,1,6
799,Kidney-RCC,2deb8f9a-9e0a-46d1-bcb5-902db3b5c8ac.csv,6667,185,1161,244,6,7
800,Kidney-RCC,2e8ad1cd-d5d5-4bb4-8bbd-e9bef45088da.csv,7276,264,1537,0,6,8
801,Kidney-RCC,3232f77f-b745-4232-a802-6699b6356efd.csv,7555,240,1299,72,6,9
802,Kidney-RCC,33b7e799-ad10-498f-9948-8ce433311539.csv,6337,243,1275,4,8,10
804,Kidney-RCC,34ab4c57-5240-4af7-a329-a5ab55934fd4.csv,4367,103,615,49,7,2
805,Kidney-RCC,39c55051-e1bc-4081-962a-17205645de45.csv,4239,152,713,60,11,3
806,Kidney-RCC,3afae3fb-2d87-4724-a589-d31cce1f4c28.csv,3872,166,600,0,4,4
807,Kidney-RCC,3afb3f57-545a-4ed5-9461-2fcb28d89399.csv,5928,229,1042,64,4,5
808,Kidney-RCC,3b7810f7-f8ff-4d62-b766-3ba06170194c.csv,27523,254,13764,64,9,6
809,Kidney-RCC,3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5.csv,3691,105,574,96,1,7
810,Kidney-RCC,42f88b95-fa12-47c7-93f1-cf72f207291c.csv,6228,322,1349,0,9,8
811,Kidney-RCC,45348eff-4b09-4776-825e-b18de9dba937.csv,5374,110,518,128,2,9
812,Kidney-RCC,483bb781-0179-42e1-bf9c-487b240769b8.csv,4306,109,825,12,2,10
814,Kidney-RCC,49ad3c8d-88cd-43cd-a273-1623fe2aec0b.csv,4801,161,719,16,4,2
815,Kidney-RCC,50203cff-83f8-4884-8346-b91ef717d00e.csv,2513,52,218,0,0,3
816,Kidney-RCC,50515723-b495-42a9-8750-e3da288bf6a3.csv,4289,128,438,16,0,4
817,Kidney-RCC,50a5970d-a0cb-4251-8ab0-74ad0e94be9a.csv,5759,194,700,20,7,5
818,Kidney-RCC,51206157-94cc-4702-8247-c98283b487aa.csv,8216,272,1298,20,7,6
819,Kidney-RCC,51e5a835-eb48-4640-87d0-f40f5e2bff18.csv,6626,281,1084,16,10,7
820,Kidney-RCC,54842328-9432-4820-8976-7964bf9bf147.csv,6176,112,790,13,0,8
821,Kidney-RCC,5c156f63-6537-4d93-a6c2-4155618cf638.csv,12227,376,933,4,2,9
822,Kidney-RCC,5ecc88f7-8391-4168-af11-07a6bf9b3652.csv,7627,355,1641,16,8,10
824,Kidney-RCC,63d0c49d-918d-41fb-808a-1f8001981917.csv,3163,117,677,0,2,2
825,Kidney-RCC,642e1379-1061-40bc-9a4c-f7c191e84d9d.csv,4968,37,455,664,1,3
826,Kidney-RCC,64446aec-c125-4c81-b9cc-62482cb1aaed.csv,6492,202,1012,80,3,4
827,Kidney-RCC,675a5a32-b405-4f03-bfcd-756343d1dfaf.csv,8046,127,774,80,0,5
828,Kidney-RCC,68b7fdb1-22b5-4152-9e69-a41151640cd8.csv,6910,144,1025,108,1,6
829,Kidney-RCC,6ba5f81a-b7a0-4c18-a112-2e11094eec85.csv,3163,80,632,36,4,7
830,Kidney-RCC,6bd4bca3-e568-4d1b-8b42-401fdf13d751.csv,9336,308,1191,48,4,8
831,Kidney-RCC,6d3551d6-b5f4-4fd1-b8d7-8e5931096c19.csv,10744,334,1135,88,3,9
832,Kidney-RCC,72293a70-9dc8-4e4a-acdc-c74587a90420.csv,1625,24,78,9,0,10
834,Kidney-RCC,741c4656-0fd0-416e-86c8-f6533b6c96f4.csv,7203,153,1029,12,4,2
835,Kidney-RCC,759e20be-6a2b-4c54-aca0-6d358598d6f5.csv,35984,517,1292,16,1,3
836,Kidney-RCC,7815397b-aa39-4b79-bcaa-6859a3f115f8.csv,5461,220,958,4,4,4
837,Kidney-RCC,79fa8423-2014-4536-a1f9-cb48aed3c45f.csv,5082,113,496,8,2,5
838,Kidney-RCC,7bd3d112-d411-4ea8-a9a9-bd965f0fc943.csv,3425,123,565,360,2,6
839,Kidney-RCC,81d0d6bb-7319-4b67-bcf7-36df24e76b43.csv,7775,261,1181,56,4,7
840,Kidney-RCC,85422a8e-2599-4dab-a257-150e380ecba8.csv,2255,69,194,8,0,8
841,Kidney-RCC,85448d11-9f84-44b7-8ae3-a115f24bdb76.csv,3362,62,280,48,0,9
842,Kidney-RCC,87e0b332-60f3-4d59-8c4e-691a820c9ee1.csv,8900,267,1595,8,10,10
844,Kidney-RCC,8fa0484b-5f95-4ec8-b3de-cea2e8f3c5ca.csv,6112,170,897,36,2,2
845,Kidney-RCC,8fb7fcac-6c1d-40c2-9309-b53821cbef30.csv,7039,286,1521,0,10,3
846,Kidney-RCC,8fc7a4cc-c25d-4372-bf17-2dae795e5596.csv,3178,87,407,68,2,4
847,Kidney-RCC,959efb81-1d56-4659-9b7a-09f2b62483f2.csv,4371,110,561,24,0,5
848,Kidney-RCC,9a015939-8810-4808-9dfa-fb60a1173bc7.csv,4758,157,685,12,5,6
849,Kidney-RCC,9ae0744a-9bc1-4cd7-b7cf-c6569ed9e4aa.csv,3105,72,347,5706,0,7
850,Kidney-RCC,9c181313-5b4c-41c5-9ad5-a5a86fe609aa.csv,2982,107,466,16,2,8
851,Kidney-RCC,a0eb2611-1ca6-44b7-897e-ce18399eb7bc.csv,6815,192,1250,40,5,9
852,Kidney-RCC,a2034620-e4b5-4d4f-ac05-7fc1c098eb40.csv,8021,227,1181,76,5,10
854,Kidney-RCC,a441697c-4ca0-4eab-9b01-b9cb50223ce2.csv,5151,165,943,4,4,2
855,Kidney-RCC,a4f8305f-4409-4776-b34d-4878d18c8693.csv,5645,129,477,28,0,3
856,Kidney-RCC,a54aac0e-4108-49cf-bf50-687031c7cda6.csv,3913,177,402,44,0,4
857,Kidney-RCC,a56cd282-f6c5-4373-b3d8-676562894598.csv,4571,84,451,36,2,5
858,Kidney-RCC,a89a2341-263d-4e7f-87fa-18d9692d6b2b.csv,7655,151,886,16,4,6
859,Kidney-RCC,a9dbd55c-5dcc-48db-8785-6baef3fdd7db.csv,5013,188,1044,32,5,7
860,Kidney-RCC,aad8c8d6-d828-4aac-9cfb-cee893e36850.csv,3922,100,350,44,0,8
861,Kidney-RCC,ad9455e9-7147-489e-9b1f-3540c457c260.csv,7904,137,505,308,3,9
862,Kidney-RCC,b19ec4cd-2876-4a2b-bcb9-b3c8db54fc15.csv,6966,318,1494,13,10,10
864,Kidney-RCC,b30dfb8b-8288-4e5a-afc2-3d5bd7bfa26c.csv,5955,189,708,12,2,2
865,Kidney-RCC,b4f515ce-5bee-4e40-a66a-01f41e92181e.csv,3636,39,439,348,2,3
866,Kidney-RCC,b51fa117-2c0a-4e1d-8ec4-9f039073a486.csv,3818,66,423,20,1,4
867,Kidney-RCC,b6365bdb-e6d5-4615-95b3-db12a0c2f3d9.csv,6967,217,807,20,15,5
868,Kidney-RCC,b7fbd99c-dea0-4448-a430-7f94c611e702.csv,5817,195,677,56,8,6
869,Kidney-RCC,b9d2e29e-8546-4310-aeea-e029f17c0516.csv,5616,107,408,4,0,7
870,Kidney-RCC,ba67c02a-180b-43f3-b53c-2b77d84fbe3c.csv,7184,255,1158,16,6,8
871,Kidney-RCC,bb567851-d4ff-4a93-8576-04a37aea68af.csv,4882,122,580,8,0,9
872,Kidney-RCC,bb659e7c-0b97-41b5-ac10-a66bb1f6f283.csv,7311,266,1312,72,9,10
874,Kidney-RCC,bd2cc59d-f5ce-46ed-beb0-4c80b24cbe71.csv,1854,34,195,12,0,2
875,Kidney-RCC,bef23192-57cd-4301-b7a7-5e82ca62482d.csv,3568,143,895,4,2,3
876,Kidney-RCC,c14407ad-670e-4d1e-9417-2b76f4810fff.csv,5374,191,724,12,3,4
877,Kidney-RCC,c19a1388-95e6-4708-a24c-3738f1908071.csv,6594,133,810,24,1,5
878,Kidney-RCC,c298ec82-8305-4c89-898f-268308f782b2.csv,19046,401,1214,60,5,6
879,Kidney-RCC,c2aafb9c-230a-43df-9a43-b34aa145a7bd.csv,7296,198,840,120,8,7
880,Kidney-RCC,c504d5a9-29b0-4b7e-ac7b-5e543449a0f4.csv,6869,243,1299,28,6,8
881,Kidney-RCC,c5bc0826-8037-4fe6-ad4e-b1b675e771fb.csv,1083,26,211,28,0,9
882,Kidney-RCC,c8f64a71-e545-4eb6-9da3-2d43ae0c2627.csv,5927,139,711,116,1,10
884,Kidney-RCC,ca2b9fe2-97e0-4d4f-afd7-a5acf638800f.csv,2689,85,315,12,0,2
885,Kidney-RCC,cbb788dd-964b-4cfd-80e1-979c7b5b3c52.csv,7210,182,774,40,5,3
886,Kidney-RCC,cdf045a6-ab6a-4dc5-b0b0-d72fbb26b0bb.csv,3047,86,418,60,1,4
887,Kidney-RCC,cf5deb22-f7eb-409d-a0e4-882716199c39.csv,3713,134,643,0,2,5
888,Kidney-RCC,d01710f9-efc8-4b5f-9e53-300b30f9219f.csv,5527,185,760,61,1,6
889,Kidney-RCC,d2ab7fd4-d1c7-48ae-ba9a-78c5d811465e.csv,6586,162,1123,5,0,7
890,Kidney-RCC,d429c27a-5963-42fe-b3a0-7252c20669d8.csv,6784,142,708,72,0,8
891,Kidney-RCC,d4c6061b-5019-4564-806d-4e75910a4690.csv,10604,430,1908,8,10,9
892,Kidney-RCC,d5c87d16-172f-4790-8867-949dcaa534d4.csv,9598,291,1553,48,2,10
894,Kidney-RCC,d926a39f-d057-4e78-8907-b74f52157d99.csv,4662,110,550,100,3,2
895,Kidney-RCC,d991f23a-dc1b-427a-b798-bd4187d3aa02.csv,8694,293,1643,16,7,3
896,Kidney-RCC,dacd4cc2-fc2b-4fbd-adf6-c8a46ae69c91.csv,6579,172,891,16,3,4
897,Kidney-RCC,db4592fb-13c2-4d61-9dc3-a5d43def8d4b.csv,5556,155,786,20,1,5
898,Kidney-RCC,db4d1d04-1189-4c0e-99a7-904667af07b5.csv,3575,70,316,32,0,6
899,Kidney-RCC,dddea2e4-b8c3-4157-9d92-6de472e8375a.csv,4417,140,724,0,8,7
900,Kidney-RCC,de4c3f91-d164-47df-9971-feba840d247c.csv,4807,112,557,36,0,8
901,Kidney-RCC,deb0de92-a46b-4e71-814c-2f6c5e97dbcd.csv,3411,103,335,8,0,9
902,Kidney-RCC,decfb419-63b3-47b0-9dfc-baae180566a0.csv,4397,92,453,36,5,10
904,Kidney-RCC,e1217ebe-1826-41a9-b6c4-702100a66f5e.csv,2329,48,352,24,2,2
905,Kidney-RCC,e5c89fcf-cc57-4fad-a138-ea47ee9ea225.csv,7043,215,698,48,0,3
906,Kidney-RCC,e6801359-d1d7-4871-b2fb-180674a2e469.csv,7397,236,1711,312,14,4
907,Kidney-RCC,ebe80d6c-7513-4f5e-9919-669b6d1fa68c.csv,3815,96,582,36,8,5
908,Kidney-RCC,effb868c-f905-41a0-ace1-b5e508732534.csv,6271,174,963,64,6,6
909,Kidney-RCC,f03330dd-c616-4ad5-abc3-6d6b0445e9e9.csv,4778,164,1099,8,10,7
910,Kidney-RCC,f269134a-e3d5-4020-bcf5-01fb42f914b2.csv,2042,36,86,0,0,8
911,Kidney-RCC,f37971bd-ec65-4840-8d4f-678692cee695.csv,3599,111,413,80,2,9
912,Kidney-RCC,f3c1a125-06e9-41c4-9558-275a3e346cc5.csv,4776,132,474,12,5,10
914,Kidney-RCC,f64e9609-d75d-400c-a92d-d77fd54d6c29.csv,6875,154,1010,12,6,2
915,Kidney-RCC,f6e758a5-150f-4424-90b7-1c1a34aec9a3.csv,5264,153,775,8,1,3
916,Kidney-RCC,f9a81200-5381-496a-8062-099f9e793618.csv,8645,215,989,308,7,4
917,Kidney-RCC,fa5e2900-95e7-4700-9707-a329cd0c77fd.csv,3856,96,576,12,0,5
918,Kidney-RCC,fb194ca3-10aa-4dc5-8d08-619ddbd6d1b6.csv,3202,102,475,36,2,6
919,Kidney-RCC,fbf937f1-5f30-470c-8a77-46cd1c41e073.csv,7607,195,749,149,2,7
920,Kidney-RCC,fd74de4d-6973-4597-a541-e8a13d80ad55.csv,3739,77,316,48,3,8
921,Kidney-RCC,fec30898-f86b-4207-aa78-de77142c8f50.csv,3225,81,168,28,0,9
922,Liver-HCC,0040b1b6-b07a-4b6e-90ef-133523eaf412.csv,14752,275,930,176,4,10
924,Liver-HCC,01dc6872-c623-11e3-bf01-24c6515278c0.csv,9662,67,532,376,4,2
925,Liver-HCC,030695f6-c623-11e3-bf01-24c6515278c0.csv,13144,258,604,577,0,3
926,Liver-HCC,03c88506-d72e-4a44-a34e-a7f0564f1799.csv,8862,183,638,260,5,4
927,Liver-HCC,041e3b42-c623-11e3-bf01-24c6515278c0.csv,8247,101,462,252,0,5
928,Liver-HCC,062e96d4-c623-11e3-bf01-24c6515278c0.csv,10540,208,484,348,0,6
929,Liver-HCC,06ecd127-6c24-422d-a7fb-bf5aee1b8b7b.csv,7570,114,489,136,0,7
930,Liver-HCC,072f4146-c623-11e3-bf01-24c6515278c0.csv,9430,162,291,116,0,8
931,Liver-HCC,0831e45e-c623-11e3-bf01-24c6515278c0.csv,20629,322,929,190,5,9
932,Liver-HCC,0a9c9db0-c623-11e3-bf01-24c6515278c0.csv,10929,202,591,168,0,10
934,Liver-HCC,0cdbabf2-c623-11e3-bf01-24c6515278c0.csv,5821,88,357,132,0,2
935,Liver-HCC,0d259ac2-03d1-4814-9b0b-d05e3a6029b7.csv,7762,174,482,116,0,3
936,Liver-HCC,0dd39eca-c623-11e3-bf01-24c6515278c0.csv,8597,134,555,144,0,4
937,Liver-HCC,0eeafcd6-c623-11e3-bf01-24c6515278c0.csv,18701,392,779,276,2,5
938,Liver-HCC,10136472-c623-11e3-bf01-24c6515278c0.csv,3401,57,47,24,0,6
939,Liver-HCC,10cb8ac6-c622-11e3-bf01-24c6515278c0.csv,22908,316,981,196,5,7
940,Liver-HCC,10db2142-c623-11e3-bf01-24c6515278c0.csv,12164,550,853,173,2,8
941,Liver-HCC,1127b561-ea40-4d5e-95df-daa0a5ebc1e4.csv,16667,241,1269,76,9,9
942,Liver-HCC,11473a98-d953-45f9-abf5-709b68a4bae8.csv,5722,103,442,44,0,10
944,Liver-HCC,13bd2b30-c623-11e3-bf01-24c6515278c0.csv,5331,78,324,256,0,2
945,Liver-HCC,145f6dbb-9744-44f7-8485-e440689de3fd.csv,3496,48,287,194,0,3
