,nm_class,samples,slices,fold
2412,HNSC,TCGA-KU-A66S-01A-21D-A30E-08,3,1
2413,HNSC,TCGA-MZ-A7D7-01A-21D-A34J-08,4,1
2414,HNSC,TCGA-CV-7236-01A-11D-2012-08,5,1
2415,HNSC,TCGA-C9-A47Z-01A-11D-A24D-08,6,1
2416,HNSC,TCGA-CV-5979-01A-11D-1683-08,7,1
2417,HNSC,TCGA-CQ-6219-01A-11D-1912-08,8,1
2418,HNSC,TCGA-D6-A6EK-01A-11D-A31L-08,9,1
2419,HNSC,TCGA-CV-A6K1-01A-11D-A31L-08,10,1
2421,HNSC,TCGA-D6-A6EM-01A-21D-A31L-08,2,1
2422,HNSC,TCGA-BA-A4IH-01A-11D-A25Y-08,3,1
2423,HNSC,TCGA-BB-4224-01A-01D-1434-08,4,1
2424,HNSC,TCGA-CV-7097-01A-11D-2012-08,5,1
2425,HNSC,TCGA-UF-A7JC-01A-21D-A34J-08,6,1
2426,HNSC,TCGA-CN-A49C-01A-11D-A24D-08,7,1
2427,HNSC,TCGA-D6-8568-01A-11D-2394-08,8,1
2428,HNSC,TCGA-CQ-A4CI-01A-11D-A25Y-08,9,1
2429,HNSC,TCGA-QK-AA3K-01A-11D-A391-08,10,1
2431,HNSC,TCGA-CV-7254-01A-11D-2012-08,2,1
2432,HNSC,TCGA-BA-5153-01A-01D-1434-08,3,1
2433,HNSC,TCGA-4P-AA8J-01A-11D-A391-08,4,1
2434,HNSC,TCGA-D6-A4ZB-01A-11D-A25D-08,5,1
2435,HNSC,TCGA-DQ-7593-01A-11D-2229-08,6,1
2436,HNSC,TCGA-CN-6994-01A-11D-1912-08,7,1
2437,HNSC,TCGA-UF-A7JK-01A-11D-A34J-08,8,1
2438,HNSC,TCGA-CV-7432-01A-11D-2129-08,9,1
2439,HNSC,TCGA-QK-A64Z-01A-11D-A30E-08,10,1
2441,HNSC,TCGA-TN-A7HI-01A-11D-A34J-08,2,1
2442,HNSC,TCGA-CQ-A4CE-01A-11D-A25Y-08,3,1
2443,HNSC,TCGA-D6-A6EO-01A-11D-A31L-08,4,1
2444,HNSC,TCGA-IQ-A6SH-01A-12D-A34J-08,5,1
2445,HNSC,TCGA-CQ-5334-01A-01D-1683-08,6,1
2446,HNSC,TCGA-CV-5435-01A-01D-1683-08,7,1
2447,HNSC,TCGA-CV-A6JN-01A-11D-A31L-08,8,1
2448,HNSC,TCGA-BA-A6DB-01A-11D-A30E-08,9,1
2449,HNSC,TCGA-CN-A49A-01A-11D-A24D-08,10,1
2451,HNSC,TCGA-QK-AA3J-01A-11D-A391-08,2,1
2452,HNSC,TCGA-IQ-A61L-01A-11D-A30E-08,3,1
2453,HNSC,TCGA-CN-A63Y-01A-11D-A30E-08,4,1
2454,HNSC,TCGA-BA-4076-01A-01D-1434-08,5,1
2455,HNSC,TCGA-CV-A465-01A-11D-A25Y-08,6,1
2456,HNSC,TCGA-CN-5363-01A-01D-1434-08,7,1
2457,HNSC,TCGA-CV-7250-01A-11D-2012-08,8,1
2458,HNSC,TCGA-CV-6436-01A-11D-1683-08,9,1
2459,HNSC,TCGA-UF-A7JH-01A-21D-A34J-08,10,1
2461,HNSC,TCGA-CV-7101-01A-11D-2012-08,2,1
2462,HNSC,TCGA-CN-4725-01A-01D-1434-08,3,1
2463,HNSC,TCGA-CR-7398-01A-11D-2012-08,4,1
2464,HNSC,TCGA-IQ-A61K-01A-11D-A30E-08,5,1
2465,HNSC,TCGA-CV-A6JU-01A-11D-A31L-08,6,1
2466,HNSC,TCGA-BA-6870-01A-11D-1870-08,7,1
2467,HNSC,TCGA-CR-7399-01A-11D-2012-08,8,1
2468,HNSC,TCGA-CR-6473-01A-11D-1870-08,9,1
2469,HNSC,TCGA-CV-7248-01A-11D-2012-08,10,1
2471,HNSC,TCGA-DQ-5631-01A-01D-1870-08,2,1
2472,HNSC,TCGA-CR-7392-01A-11D-2012-08,3,1
2473,HNSC,TCGA-P3-A6T8-01A-11D-A34J-08,4,1
2474,HNSC,TCGA-UF-A7JA-01A-12D-A34J-08,5,1
2475,HNSC,TCGA-BB-A6UM-01A-12D-A34J-08,6,1
2476,HNSC,TCGA-BA-6872-01A-11D-1870-08,7,1
2477,HNSC,TCGA-H7-A76A-01A-51D-A34J-08,8,1
2478,HNSC,TCGA-CN-A640-01A-21D-A30E-08,9,1
2479,HNSC,TCGA-BA-A6DE-01A-22D-A31L-08,10,1
2481,HNSC,TCGA-CR-5243-01A-01D-1512-08,2,1
2482,HNSC,TCGA-CV-5977-01A-11D-1683-08,3,1
2483,HNSC,TCGA-CV-7242-01A-11D-2012-08,4,1
2484,HNSC,TCGA-BB-7870-01A-11D-2229-08,5,1
2485,HNSC,TCGA-CV-6933-01A-11D-1912-08,6,1
2486,HNSC,TCGA-CN-4729-01A-01D-1434-08,7,1
2487,HNSC,TCGA-BA-A6DG-01A-21D-A30E-08,8,1
2488,HNSC,TCGA-CV-7090-01A-11D-2012-08,9,1
2489,HNSC,TCGA-CR-6491-01A-11D-1870-08,10,1
2491,HNSC,TCGA-CR-6478-01A-11D-1870-08,2,1
2492,HNSC,TCGA-CR-5248-01A-01D-2012-08,3,1
2493,HNSC,TCGA-CN-6010-01A-11D-1683-08,4,1
2494,HNSC,TCGA-CR-7376-01A-11D-2129-08,5,1
2495,HNSC,TCGA-CV-5978-01A-11D-1683-08,6,1
2496,HNSC,TCGA-P3-A6T5-01A-11D-A34J-08,7,1
2497,HNSC,TCGA-CV-7425-01A-11D-2078-08,8,1
2498,HNSC,TCGA-CV-A45X-01A-21D-A25D-08,9,1
2499,HNSC,TCGA-CN-4731-01A-01D-1434-08,10,1
2501,HNSC,TCGA-DQ-7591-01A-11D-2078-08,2,1
2502,HNSC,TCGA-CV-6945-01A-11D-1912-08,3,1
2503,HNSC,TCGA-CR-7383-01A-11D-2129-08,4,1
2504,HNSC,TCGA-QK-A6IF-01A-11D-A31L-08,5,1
2505,HNSC,TCGA-CR-6472-01A-11D-1870-08,6,1
2506,HNSC,TCGA-CR-6470-01A-11D-1870-08,7,1
2507,HNSC,TCGA-UF-A7J9-01A-12D-A34J-08,8,1
2508,HNSC,TCGA-CR-7404-01A-11D-2129-08,9,1
2509,HNSC,TCGA-DQ-7592-01A-11D-2078-08,10,1
2511,HNSC,TCGA-CV-7255-01A-11D-2012-08,2,1
2512,HNSC,TCGA-CQ-5324-01A-01D-1683-08,3,1
2513,HNSC,TCGA-CQ-5331-01A-02D-1870-08,4,1
2514,HNSC,TCGA-CN-A641-01A-11D-A30E-08,5,1
2515,HNSC,TCGA-CX-A4AQ-01A-11D-A25D-08,6,1
2516,HNSC,TCGA-CV-A463-01A-11D-A25Y-08,7,1
2517,HNSC,TCGA-D6-A74Q-01A-11D-A34J-08,8,1
2518,HNSC,TCGA-CQ-A4CD-01A-21D-A25D-08,9,1
2519,HNSC,TCGA-BA-A4IG-01A-11D-A25Y-08,10,1
2521,HNSC,TCGA-CV-A45O-01A-21D-A24D-08,2,1
2522,HNSC,TCGA-CN-6013-01A-11D-1683-08,3,1
2523,HNSC,TCGA-HD-7832-01A-11D-2129-08,4,1
2524,HNSC,TCGA-MT-A51X-01A-11D-A25Y-08,5,1
2525,HNSC,TCGA-P3-A6SW-01A-11D-A34J-08,6,1
2526,HNSC,TCGA-IQ-A6SG-01A-12D-A34J-08,7,1
2527,HNSC,TCGA-CR-7369-01A-11D-2129-08,8,1
2528,HNSC,TCGA-IQ-A61G-01A-11D-A30E-08,9,1
2529,HNSC,TCGA-BA-6868-01B-12D-1912-08,10,1
2531,HNSC,TCGA-CQ-A4C9-01A-11D-A25D-08,2,1
2532,HNSC,TCGA-CN-6992-01A-11D-1912-08,3,1
2533,HNSC,TCGA-CX-7219-01A-11D-2012-08,4,1
2534,HNSC,TCGA-CN-6021-01A-11D-1683-08,5,1
2535,HNSC,TCGA-CR-6488-01A-12D-2078-08,6,1
2536,HNSC,TCGA-BA-5149-01A-01D-1512-08,7,1
2537,HNSC,TCGA-P3-A5Q5-01A-11D-A28R-08,8,1
2538,HNSC,TCGA-HD-7831-01A-11D-2129-08,9,1
2539,HNSC,TCGA-CV-5430-01A-02D-1683-08,10,1
2541,HNSC,TCGA-BA-A4II-01A-11D-A25Y-08,2,1
2542,HNSC,TCGA-CV-7103-01A-21D-2012-08,3,1
2543,HNSC,TCGA-DQ-7596-01A-11D-2229-08,4,1
2544,HNSC,TCGA-CV-6959-01A-11D-1912-08,5,1
2545,HNSC,TCGA-BA-6869-01A-11D-1870-08,6,1
2546,HNSC,TCGA-CV-A45T-01A-11D-A24D-08,7,1
2547,HNSC,TCGA-CV-A45V-01A-21D-A25D-08,8,1
2548,HNSC,TCGA-BA-5556-01A-01D-1512-08,9,1
2549,HNSC,TCGA-F7-A61V-01A-11D-A28R-08,10,1
2551,HNSC,TCGA-CV-6956-01A-21D-2012-08,2,1
2552,HNSC,TCGA-CV-5440-01A-01D-1512-08,3,1
2553,HNSC,TCGA-BA-6873-01A-11D-1870-08,4,1
2554,HNSC,TCGA-D6-6515-01A-21D-1870-08,5,1
2555,HNSC,TCGA-CQ-7069-01A-11D-2394-08,6,1
2556,HNSC,TCGA-D6-A6EQ-01A-11D-A31L-08,7,1
2557,HNSC,TCGA-CV-6433-01A-11D-1683-08,8,1
2558,HNSC,TCGA-MT-A67F-01A-11D-A30E-08,9,1
2559,HNSC,TCGA-IQ-7631-01A-11D-2078-08,10,1
2561,HNSC,TCGA-UF-A718-01A-22D-A34J-08,2,1
2562,HNSC,TCGA-CV-A460-01A-21D-A25D-08,3,1
2563,HNSC,TCGA-CV-7406-01A-11D-2078-08,4,1
2564,HNSC,TCGA-C9-A480-01A-12D-A24D-08,5,1
2565,HNSC,TCGA-CV-6936-01A-11D-1912-08,6,1
2566,HNSC,TCGA-CV-7099-01A-41D-2012-08,7,1
2567,HNSC,TCGA-BB-4217-01A-11D-2078-08,8,1
2568,HNSC,TCGA-BA-6871-01A-11D-1870-08,9,1
2569,HNSC,TCGA-CV-6935-01A-11D-1912-08,10,1
2571,HNSC,TCGA-CV-7177-01A-11D-2012-08,2,1
2572,HNSC,TCGA-QK-A8Z9-01B-11D-A391-08,3,1
2573,HNSC,TCGA-RS-A6TP-01A-12D-A34J-08,4,1
2574,HNSC,TCGA-CV-5441-01A-01D-1512-08,5,1
2575,HNSC,TCGA-T3-A92N-01A-11D-A391-08,6,1
2576,HNSC,TCGA-CV-6939-01A-11D-1912-08,7,1
2577,HNSC,TCGA-CV-7247-01A-11D-2012-08,8,1
2578,HNSC,TCGA-CQ-6224-01A-11D-1912-08,9,1
2579,HNSC,TCGA-H7-8501-01A-11D-2394-08,10,1
2581,HNSC,TCGA-CN-A63V-01A-11D-A28R-08,2,1
2582,HNSC,TCGA-CV-7418-01A-11D-2078-08,3,1
2583,HNSC,TCGA-IQ-A61O-01A-11D-A30E-08,4,1
2584,HNSC,TCGA-CV-A6JD-01A-11D-A31L-08,5,1
2585,HNSC,TCGA-CN-A498-01A-11D-A24D-08,6,1
2586,HNSC,TCGA-IQ-A61E-01A-22D-A30E-08,7,1
2587,HNSC,TCGA-D6-6823-01A-11D-1912-08,8,1
2588,HNSC,TCGA-F7-A50I-01A-11D-A28R-08,9,1
2589,HNSC,TCGA-CV-7263-01A-11D-2012-08,10,1
2591,HNSC,TCGA-CV-7411-01A-11D-2078-08,2,1
2592,HNSC,TCGA-CV-A6JO-01B-11D-A34J-08,3,1
2593,HNSC,TCGA-CN-4736-01A-01D-1434-08,4,1
2594,HNSC,TCGA-DQ-5630-01A-01D-1870-08,5,1
2595,HNSC,TCGA-CV-6441-01A-11D-1683-08,6,1
2596,HNSC,TCGA-HD-A4C1-01A-11D-A24D-08,7,1
2597,HNSC,TCGA-CN-6988-01A-11D-1912-08,8,1
2598,HNSC,TCGA-F7-A61S-01A-11D-A28R-08,9,1
2599,HNSC,TCGA-H7-A6C4-01A-11D-A30E-08,10,1
2601,HNSC,TCGA-DQ-5629-01A-01D-1870-08,2,1
2602,HNSC,TCGA-CN-A49B-01A-31D-A24D-08,3,1
2603,HNSC,TCGA-KU-A6H7-01A-11D-A31L-08,4,1
2604,HNSC,TCGA-CN-6024-01A-11D-1683-08,5,1
2605,HNSC,TCGA-CN-6022-01A-21D-1683-08,6,1
2606,HNSC,TCGA-P3-A5QE-01A-11D-A28R-08,7,1
2607,HNSC,TCGA-CR-6467-01A-11D-1870-08,8,1
2608,HNSC,TCGA-CQ-5330-01A-01D-1683-08,9,1
2609,HNSC,TCGA-BA-5558-01A-01D-1512-08,10,1
2611,HNSC,TCGA-BB-4227-01A-01D-1870-08,2,1
2612,HNSC,TCGA-CR-7379-01A-11D-2012-08,3,1
2613,HNSC,TCGA-CR-7402-01A-11D-2012-08,4,1
2614,HNSC,TCGA-CV-A45U-01A-12D-A24D-08,5,1
2615,HNSC,TCGA-CQ-A4CH-01A-11D-A25Y-08,6,1
2616,HNSC,TCGA-CN-4735-01A-01D-1434-08,7,1
2617,HNSC,TCGA-IQ-A61J-01A-11D-A30E-08,8,1
2618,HNSC,TCGA-IQ-A61H-01A-11D-A30E-08,9,1
2619,HNSC,TCGA-TN-A7HL-01A-11D-A34J-08,10,1
2621,HNSC,TCGA-CN-4728-01A-01D-1434-08,2,1
2622,HNSC,TCGA-CV-7423-01A-11D-2078-08,3,1
2623,HNSC,TCGA-P3-A6T7-01A-11D-A34J-08,4,1
2624,HNSC,TCGA-UF-A7JS-01A-11D-A34J-08,5,1
2625,HNSC,TCGA-CV-7091-01A-11D-2012-08,6,1
2626,HNSC,TCGA-P3-A6SX-01A-11D-A34J-08,7,1
2627,HNSC,TCGA-D6-A6EP-01A-11D-A31L-08,8,1
2628,HNSC,TCGA-BB-4225-01A-01D-1434-08,9,1
2629,HNSC,TCGA-CN-6020-01A-11D-1683-08,10,1
2631,HNSC,TCGA-F7-7848-01A-11D-2129-08,2,1
2632,HNSC,TCGA-MT-A67A-01A-11D-A30E-08,3,1
2633,HNSC,TCGA-BA-5152-01A-02D-1870-08,4,1
2634,HNSC,TCGA-UF-A71A-01A-22D-A34J-08,5,1
2635,HNSC,TCGA-T2-A6WZ-01A-21D-A34J-08,6,1
2636,HNSC,TCGA-CV-7102-01A-11D-2012-08,7,1
2637,HNSC,TCGA-P3-A5Q6-01A-11D-A28R-08,8,1
2638,HNSC,TCGA-CV-7252-01A-11D-2012-08,9,1
2639,HNSC,TCGA-UP-A6WW-01A-12D-A34J-08,10,1
2641,HNSC,TCGA-UF-A7JT-01A-11D-A34J-08,2,1
2642,HNSC,TCGA-CV-6941-01A-11D-1912-08,3,1
2643,HNSC,TCGA-KU-A6H8-01A-21D-A34J-08,4,1
2644,HNSC,TCGA-IQ-7632-01A-11D-2078-08,5,1
2645,HNSC,TCGA-QK-A652-01A-11D-A30E-08,6,1
2646,HNSC,TCGA-CQ-6228-01A-11D-1912-08,7,1
2647,HNSC,TCGA-CN-4738-01A-02D-1512-08,8,1
2648,HNSC,TCGA-CQ-6229-01A-11D-1912-08,9,1
2649,HNSC,TCGA-CQ-7071-01A-12D-A30E-08,10,1
2651,HNSC,TCGA-HD-7229-01A-11D-2012-08,2,1
2652,HNSC,TCGA-BB-A5HY-01A-11D-A28R-08,3,1
2653,HNSC,TCGA-CV-A45Z-01A-21D-A25D-08,4,1
2654,HNSC,TCGA-QK-A6VB-01A-12D-A34J-08,5,1
2655,HNSC,TCGA-CR-7365-01A-11D-2012-08,6,1
2656,HNSC,TCGA-TN-A7HJ-01A-12D-A34J-08,7,1
2657,HNSC,TCGA-CQ-6223-01A-11D-1912-08,8,1
2658,HNSC,TCGA-CV-7415-01A-11D-2078-08,9,1
2659,HNSC,TCGA-CR-6482-01A-11D-1870-08,10,1
2661,HNSC,TCGA-CV-7433-01A-11D-2129-08,2,1
2662,HNSC,TCGA-CN-A6V7-01A-12D-A34J-08,3,1
2663,HNSC,TCGA-CN-5374-01A-01D-1434-08,4,1
2664,HNSC,TCGA-CV-7261-01A-11D-2012-08,5,1
2665,HNSC,TCGA-CN-6997-01A-11D-2012-08,6,1
2666,HNSC,TCGA-CN-6989-01A-11D-1912-08,7,1
2667,HNSC,TCGA-BB-8596-01A-11D-2394-08,8,1
2668,HNSC,TCGA-D6-A6EN-01A-11D-A31L-08,9,1
2669,HNSC,TCGA-UF-A7JD-01A-11D-A34J-08,10,1
2671,HNSC,TCGA-CV-5439-01A-01D-1683-08,2,1
2672,HNSC,TCGA-CN-4737-01A-01D-1434-08,3,1
2673,HNSC,TCGA-CV-6953-01A-11D-1912-08,4,1
2674,HNSC,TCGA-CN-5370-01A-01D-2012-08,5,1
2675,HNSC,TCGA-P3-A6T3-01A-11D-A34J-08,6,1
2676,HNSC,TCGA-QK-A8Z7-01A-11D-A391-08,7,1
2677,HNSC,TCGA-CX-7085-01A-21D-2012-08,8,1
2678,HNSC,TCGA-H7-7774-01A-21D-2078-08,9,1
2679,HNSC,TCGA-CV-6961-01A-21D-1912-08,10,1
2681,HNSC,TCGA-CQ-5323-01A-01D-1683-08,2,1
2682,HNSC,TCGA-BA-A8YP-01A-11D-A391-08,3,1
2683,HNSC,TCGA-CV-7424-01A-11D-2078-08,4,1
2684,HNSC,TCGA-CV-7422-01A-21D-2078-08,5,1
2685,HNSC,TCGA-CV-7183-01A-11D-2012-08,6,1
2686,HNSC,TCGA-CV-7568-01A-11D-2229-08,7,1
2687,HNSC,TCGA-HD-7754-01A-11D-2078-08,8,1
2688,HNSC,TCGA-QK-A6V9-01A-11D-A34J-08,9,1
2689,HNSC,TCGA-QK-A8Z8-01A-11D-A391-08,10,1
2691,HNSC,TCGA-CN-4734-01A-01D-1434-08,2,1
2692,HNSC,TCGA-D6-6827-01A-11D-1912-08,3,1
2693,HNSC,TCGA-CQ-A4C6-01A-11D-A25D-08,4,1
2694,HNSC,TCGA-F7-8298-01A-11D-2394-08,5,1
2695,HNSC,TCGA-HD-A6I0-01A-11D-A31L-08,6,1
2696,HNSC,TCGA-CQ-5332-01A-01D-1683-08,7,1
2697,HNSC,TCGA-CV-7238-01A-11D-2012-08,8,1
2698,HNSC,TCGA-CR-7395-01A-11D-2012-08,9,1
2699,HNSC,TCGA-BA-A4IF-01A-11D-A25Y-08,10,1
2701,HNSC,TCGA-BA-7269-01A-11D-2012-08,2,1
2702,HNSC,TCGA-RS-A6TO-01A-32D-A34J-08,3,1
2703,HNSC,TCGA-CR-7388-01A-11D-2012-08,4,1
2704,HNSC,TCGA-CV-7429-01A-11D-2129-08,5,1
2705,HNSC,TCGA-CV-6948-01A-11D-1912-08,6,1
2706,HNSC,TCGA-QK-A6IH-01A-11D-A31L-08,7,1
2707,HNSC,TCGA-CN-5364-01A-01D-1434-08,8,1
2708,HNSC,TCGA-P3-A6T2-01A-11D-A34J-08,9,1
2709,HNSC,TCGA-CR-6480-01A-11D-1870-08,10,1
2711,HNSC,TCGA-CR-7390-01A-11D-2012-08,2,1
2712,HNSC,TCGA-CV-6962-01A-11D-1912-08,3,1
2713,HNSC,TCGA-CR-6474-01A-11D-1870-08,4,1
2714,HNSC,TCGA-CQ-7064-01A-11D-2394-08,5,1
2715,HNSC,TCGA-CV-7416-01A-11D-2078-08,6,1
2716,HNSC,TCGA-CV-7100-01A-11D-2012-08,7,1
2717,HNSC,TCGA-CR-6493-01A-11D-1870-08,8,1
2718,HNSC,TCGA-P3-A5QA-01A-11D-A28R-08,9,1
2719,HNSC,TCGA-BB-4223-01A-01D-1434-08,10,1
2721,HNSC,TCGA-CQ-5327-01A-01D-1683-08,2,1
2722,HNSC,TCGA-BB-8601-01A-11D-2394-08,3,1
2723,HNSC,TCGA-CQ-6218-01A-11D-1912-08,4,1
2724,HNSC,TCGA-CQ-7063-01A-11D-2394-08,5,1
2725,HNSC,TCGA-MT-A67G-01A-11D-A30E-08,6,1
2726,HNSC,TCGA-CV-7446-01A-11D-2229-08,7,1
2727,HNSC,TCGA-WA-A7GZ-01A-11D-A34J-08,8,1
2728,HNSC,TCGA-F7-A624-01A-22D-A30E-08,9,1
2729,HNSC,TCGA-CR-7368-01A-11D-2129-08,10,1
2731,HNSC,TCGA-F7-A620-01A-11D-A28R-08,2,1
2732,HNSC,TCGA-CV-7438-01A-21D-2129-08,3,1
2733,HNSC,TCGA-HD-8635-01A-11D-2394-08,4,1
2734,HNSC,TCGA-CQ-6222-01A-11D-1912-08,5,1
2735,HNSC,TCGA-CN-4739-01A-02D-1512-08,6,1
2736,KIRC,TCGA-AK-3451-01A-02D-1251-10,7,1
2737,KIRC,TCGA-B0-5120-01A-01D-1421-08,8,1
2738,KIRC,TCGA-3Z-A93Z-01A-11D-A36X-10,9,1
2739,KIRC,TCGA-B4-5836-01A-11D-1669-08,10,1
2741,KIRC,TCGA-B0-5700-01A-11D-1534-10,2,1
2742,KIRC,TCGA-B0-4945-01A-01D-1421-08,3,1
2743,KIRC,TCGA-B0-5108-01A-01D-1421-08,4,1
2744,KIRC,TCGA-BP-4760-01A-02D-1421-08,5,1
2745,KIRC,TCGA-CJ-4641-01A-02D-1386-10,6,1
2746,KIRC,TCGA-B0-5399-01A-01D-1501-10,7,1
2747,KIRC,TCGA-CJ-4644-01A-02D-1386-10,8,1
2748,KIRC,TCGA-A3-3380-01A-01D-0966-08,9,1
2749,KIRC,TCGA-BP-5177-01A-01D-1429-08,10,1
2751,KIRC,TCGA-CZ-5456-01A-01D-1501-10,2,1
2752,KIRC,TCGA-BP-5168-01A-01D-1421-08,3,1
2753,KIRC,TCGA-CJ-6031-01A-11D-1669-08,4,1
2754,KIRC,TCGA-BP-4989-01A-01D-1462-08,5,1
2755,KIRC,TCGA-6D-AA2E-01A-11D-A36X-10,6,1
2756,KIRC,TCGA-BP-5010-01A-02D-1421-08,7,1
2757,KIRC,TCGA-BP-4991-01A-01D-1462-08,8,1
2758,KIRC,TCGA-CZ-5465-01A-01D-1806-10,9,1
2759,KIRC,TCGA-CJ-4905-01A-02D-1429-08,10,1
2761,KIRC,TCGA-B0-5711-01A-11D-1669-08,2,1
2762,KIRC,TCGA-BP-4974-01A-01D-1462-08,3,1
2763,KIRC,TCGA-CZ-4859-01A-02D-1429-08,4,1
2764,KIRC,TCGA-BP-4163-01A-02D-1386-10,5,1
2765,KIRC,TCGA-B0-5400-01A-01D-1501-10,6,1
2766,KIRC,TCGA-B8-5546-01A-01D-1534-10,7,1
2767,KIRC,TCGA-CJ-5675-01A-11D-1534-10,8,1
2768,KIRC,TCGA-BP-5183-01A-01D-1429-08,9,1
2769,KIRC,TCGA-AK-3440-01A-01D-0966-08,10,1
2771,KIRC,TCGA-CJ-4640-01A-02D-1386-10,2,1
2772,KIRC,TCGA-AK-3427-01A-01D-0966-08,3,1
2773,KIRC,TCGA-CJ-6027-01A-11D-1669-08,4,1
2774,KIRC,TCGA-B0-4706-01A-01D-1501-10,5,1
2775,KIRC,TCGA-EU-5906-01A-11D-1669-08,6,1
2776,KIRC,TCGA-B0-4811-01A-01D-1501-10,7,1
2777,KIRC,TCGA-BP-4992-01A-01D-1462-08,8,1
2778,KIRC,TCGA-DV-5567-01A-01D-1534-10,9,1
2779,KIRC,TCGA-BP-5174-01A-01D-1429-08,10,1
2781,KIRC,TCGA-BP-4161-01A-02D-1386-10,2,1
2782,KIRC,TCGA-BP-5202-01A-02D-1429-08,3,1
2783,KIRC,TCGA-CJ-6028-01A-11D-1669-08,4,1
2784,KIRC,TCGA-A3-3370-01A-02D-1421-08,5,1
2785,KIRC,TCGA-CJ-5683-01A-11D-1534-10,6,1
2786,KIRC,TCGA-CJ-5680-01A-11D-1534-10,7,1
2787,KIRC,TCGA-B8-A54H-01A-11D-A33K-10,8,1
2788,KIRC,TCGA-B2-5639-01A-01D-1534-10,9,1
2789,KIRC,TCGA-DV-A4VX-01A-11D-A25V-10,10,1
2791,KIRC,TCGA-B8-5158-01A-01D-1421-08,2,1
2792,KIRC,TCGA-B0-4815-01A-01D-1501-10,3,1
2793,KIRC,TCGA-B8-4146-01B-11D-1669-08,4,1
2794,KIRC,TCGA-A3-3346-01A-01D-0966-08,5,1
2795,KIRC,TCGA-B0-5710-01A-11D-1669-08,6,1
2796,KIRC,TCGA-B0-5102-01A-01D-1421-08,7,1
2797,KIRC,TCGA-B0-5706-01A-11D-1534-10,8,1
2798,KIRC,TCGA-B0-5085-01A-01D-1462-08,9,1
2799,KIRC,TCGA-CZ-5461-01A-01D-1501-10,10,1
2801,KIRC,TCGA-BP-4965-01A-01D-1462-08,2,1
2802,KIRC,TCGA-CZ-4863-01A-01D-1501-10,3,1
2803,KIRC,TCGA-A3-3363-01A-01D-0966-08,4,1
2804,KIRC,TCGA-BP-5169-01A-01D-1429-08,5,1
2805,KIRC,TCGA-B4-5844-01A-11D-1669-08,6,1
2806,KIRC,TCGA-B8-4153-01B-11D-1669-08,7,1
2807,KIRC,TCGA-A3-3374-01A-01D-0966-08,8,1
2808,KIRC,TCGA-B2-4098-01A-02D-1386-10,9,1
2809,KIRC,TCGA-B0-4818-01A-01D-1501-10,10,1
2811,KIRC,TCGA-CW-5587-01A-01D-1534-10,2,1
2812,KIRC,TCGA-B0-4852-01A-01D-1501-10,3,1
2813,KIRC,TCGA-CZ-5468-01A-01D-1501-10,4,1
2814,KIRC,TCGA-B0-5097-01A-01D-1421-08,5,1
2815,KIRC,TCGA-B0-5080-01A-01D-1501-10,6,1
2816,KIRC,TCGA-BP-5182-01A-01D-1429-08,7,1
2817,KIRC,TCGA-CZ-5985-01A-11D-1669-08,8,1
2818,KIRC,TCGA-A3-3357-01A-02D-1421-08,9,1
2819,KIRC,TCGA-B0-5115-01A-01D-1421-08,10,1
2821,KIRC,TCGA-CJ-4918-01A-01D-1429-08,2,1
2822,KIRC,TCGA-BP-4975-01A-01D-1462-08,3,1
2823,KIRC,TCGA-B0-4816-01A-01D-1501-10,4,1
2824,KIRC,TCGA-BP-5187-01A-01D-1429-08,5,1
2825,KIRC,TCGA-BP-5198-01A-01D-1429-08,6,1
2826,KIRC,TCGA-B0-5107-01A-01D-1421-08,7,1
2827,KIRC,TCGA-BP-4167-01A-02D-1386-10,8,1
2828,KIRC,TCGA-EU-5907-01A-11D-1669-08,9,1
2829,KIRC,TCGA-BP-4964-01A-01D-1462-08,10,1
2831,KIRC,TCGA-AK-3436-01A-02D-1386-10,2,1
2832,KIRC,TCGA-CZ-5988-01A-11D-1669-08,3,1
2833,KIRC,TCGA-B8-5549-01A-01D-1534-10,4,1
2834,KIRC,TCGA-BP-4162-01A-02D-1386-10,5,1
2835,KIRC,TCGA-BP-4998-01A-01D-1462-08,6,1
2836,KIRC,TCGA-B8-5164-01A-01D-1421-08,7,1
2837,KIRC,TCGA-B8-4151-01A-01D-1806-10,8,1
2838,KIRC,TCGA-B0-5117-01A-01D-1421-08,9,1
2839,KIRC,TCGA-A3-A8OX-01A-11D-A36X-10,10,1
2841,KIRC,TCGA-B0-5691-01A-11D-1534-10,2,1
2842,KIRC,TCGA-CZ-5460-01A-01D-1501-10,3,1
2843,KIRC,TCGA-B8-A54G-01A-11D-A25V-10,4,1
2844,KIRC,TCGA-CJ-5679-01A-11D-1534-10,5,1
2845,KIRC,TCGA-BP-5180-01A-01D-1429-08,6,1
2846,KIRC,TCGA-B0-5110-01A-01D-1421-08,7,1
2847,KIRC,TCGA-CZ-5982-01A-11D-1669-08,8,1
2848,KIRC,TCGA-CJ-5672-01A-11D-1534-10,9,1
2849,KIRC,TCGA-B8-5553-01A-01D-1534-10,10,1
2851,KIRC,TCGA-CW-6087-01A-11D-1669-08,2,1
2852,KIRC,TCGA-B0-5699-01A-11D-1534-10,3,1
2853,KIRC,TCGA-BP-4994-01A-01D-1462-08,4,1
2854,KIRC,TCGA-A3-3367-01A-02D-1421-08,5,1
